Ano Letivo;RA;Fase;Turma;Nome;Idade;Gênero;Ano ingresso;Instituição de ensino;Pedra;INDE;Nº Av;IAA;IEG;IPS;IDA;IPV;IAN;IPP;Mat;Por;Ing;Fase Ideal;Defasagem;Destaque IEG;Destaque IDA;Destaque IPV;Atingiu PV;REC AV
2023;RA-1129;2;2N;Aluno-1129;11;Masculino;2023;Pública;Ametista;7,3;3;0;9,2;6,3;7,8;7,5;10;7,9;6,8;8,7;7,9;Fase 2 ;0;Boa entrega;Boas notas;Boa integração;Não;Promovido fase
2023;RA-1128;2;2N;Aluno-1128;12;Masculino;2023;Pública;Agata;6,4;3;9,5;7,3;5;3,5;7,5;5;7,9;3;4;3,5;Fase 3 ;-1;Melhorar entrega;Empenhar mais;Boa integração;Não;Manter atual com bolsa
2023;RA-916;0;ALFA H - G0/G1;Aluno-916;9;Feminino;2023;Pública;Ametista;7,4;2;9,5;9,7;2,5;6,6;9;5;6,2;7,7;5,5;6,6;Fase 1 ;-1;Boa entrega;Empenhar mais;Boa integração;Sim;Promovido fase
2024;RA-1014;0;ALFA E - G2/G3;Aluno-1014;8;Feminino;2023;Pública;Agata;6,3;3;8,5;7,9;2,5;5,2;7;5;6,9;6,5;4;5,1;Fase 1 ;-1;Boa entrega;Empenhar mais;Integra-se mais;Não;Manter atual com bolsa
2024;RA-880;0;ALFA E - G2/G3;Aluno-880;8;Feminino;2023;Pública;Agata;6,9;3;9,5;8,4;2,5;6,5;7,2;5;7,2;7,5;5,5;6,5;Fase 1 ;-1;Boa entrega;Empenhar mais;Integra-se mais;Não;Promovido fase
2024;RA-886;0;ALFA E - G2/G3;Aluno-886;8;Feminino;2023;Pública;Topázio;8,4;3;9,5;10;8,1;8,8;8,3;5;7,5;9;8,5;8,9;Fase 1 ;-1;Boa entrega;Boas notas;Boa integração;Não;Promovido com bolsa
2024;RA-1004;0;ALFA J - G2/G3;Aluno-1004;9;Feminino;2023;Pública;Ametista;7,8;2;9,5;9,2;7,5;7,5;7,5;5;7,5;7,5;7,5;7,5;Fase 1 ;-1;Boa entrega;Boas notas;Boa integração;Não;Promovido fase
2024;RA-1006;0;ALFA J - G2/G3;Aluno-1006;9;Feminino;2023;Pública;Ametista;7;2;8,5;8,4;7,5;5;7,5;5;7,5;5;5;5;Fase 1 ;-1;Boa entrega;Empenhar mais;Boa integração;Não;Promovido fase
2023;RA-1105;2;2G;Aluno-1105;13;Feminino;2023;Pública;Agata;6,3;3;0;9;2,5;6;8,7;5;8,1;5;7;6;Fase 3 ;-1;Boa entrega;Empenhar mais;Boa integração;Sim;Manter atual com bolsa
2024;RA-905;0;ALFA J - G2/G3;Aluno-905;10;Masculino;2023;Pública;Agata;6,4;2;9;7,8;7,5;3;7;5;6,9;2;4;3;Fase 2 ;-2;Boa entrega;Empenhar mais;Integra-se mais;Não;Manter atual com bolsa
2024;RA-907;0;ALFA J - G2/G3;Aluno-907;9;Feminino;2023;Privada;Ametista;7,9;2;9;8,9;7,5;8,8;7,5;5;7,5;10;7,5;8,9;Fase 1 ;-1;Boa entrega;Boas notas;Boa integração;Não;Promovido fase
